EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1146,37,Travel_Rarely,856,Human Resources,13,2,Life Sciences,1,3,Female,67,3,1,Human Resources,3,Married,63477,9609,4,Y,Yes,13,3,2,80,2,14,1,3,5,4,5,3
1147,42,Non-Travel,1475,Human Resources,10,1,Human Resources,1,4,Male,86,4,3,Manager,3,Married,68179,16299,2,Y,No,23,3,3,80,2,17,4,4,17,6,2,5
1148,44,Travel_Frequently,120,Sales,29,2,Other,1,1,Male,50,1,1,Sales Representative,2,Married,48032,4654,4,Y,Yes,14,1,2,80,1,9,1,1,0,1,10,0
1149,34,Travel_Rarely,517,Research & Development,19,5,Human Resources,1,2,Female,52,3,1,Healthcare Representative,3,Married,83744,12215,4,Y,Yes,11,3,4,80,1,12,2,3,5,2,6,4
1150,32,Travel_Frequently,168,Human Resources,17,3,Human Resources,1,2,Male,50,1,1,Human Resources,1,Married,50004,6199,5,Y,Yes,12,1,2,80,1,3,0,1,3,2,12,1
1151,27,Travel_Rarely,1164,Research & Development,3,3,Medical,1,3,Male,89,4,4,Healthcare Representative,3,Married,118533,23676,2,Y,Yes,24,3,3,80,3,22,3,4,20,10,1,6
1152,45,Non-Travel,847,Research & Development,18,1,Life Sciences,1,2,Female,51,3,2,Manufacturing Director,3,Single,88037,13715,2,Y,No,11,3,2,80,2,14,1,2,6,1,6,1
1153,54,Travel_Frequently,366,Sales,24,3,Human Resources,1,1,Female,30,2,1,Sales Representative,1,Married,52343,5072,8,Y,Yes,11,2,2,80,1,2,0,2,1,0,9,2
1154,46,Travel_Frequently,603,Sales,16,2,Technical Degree,1,3,Female,73,3,3,Sales Executive,3,Married,53518,9131,5,Y,Yes,18,2,4,80,1,8,3,3,7,4,3,4
1155,48,Travel_Rarely,596,Research & Development,6,1,Medical,1,3,Female,79,2,3,Manufacturing Director,2,Married,71577,11282,5,Y,Yes,14,2,4,80,0,9,2,2,8,1,3,4
1156,32,Travel_Frequently,700,Human Resources,17,4,Life Sciences,1,2,Male,56,2,2,Manager,3,Single,51625,12241,3,Y,No,15,2,4,80,0,10,1,2,6,2,2,3
1157,41,Travel_Frequently,548,Research & Development,27,5,Human Resources,1,1,Male,47,2,2,Research Scientist,2,Married,65787,6709,7,Y,Yes,13,1,2,80,0,4,1,1,4,0,9,0
1158,44,Travel_Frequently,447,Human Resources,12,2,Marketing,1,3,Female,62,3,2,Human Resources,3,Divorced,51369,13518,4,Y,Yes,11,3,2,80,1,15,3,2,2,4,3,2
1159,22,Non-Travel,1328,Human Resources,2,3,Medical,1,4,Male,70,3,5,Manager,3,Divorced,63464,22871,1,Y,No,17,3,3,80,3,12,4,3,12,7,1,6
1160,29,Travel_Rarely,712,Research & Development,6,4,Human Resources,1,4,Female,91,3,2,Laboratory Technician,3,Divorced,101600,17452,3,Y,Yes,22,4,3,80,2,9,3,4,6,9,3,3
1161,51,Travel_Rarely,769,Sales,12,3,Medical,1,3,Female,58,2,1,Manager,3,Married,68614,14587,4,Y,Yes,18,3,3,80,1,6,2,3,5,4,3,4
1162,26,Non-Travel,966,Sales,8,2,Technical Degree,1,3,Female,81,4,4,Manager,4,Married,63745,19903,1,Y,No,19,3,4,80,1,21,3,4,14,7,0,9
1163,49,Travel_Frequently,534,Human Resources,21,3,Other,1,2,Male,59,2,2,Human Resources,1,Divorced,47043,2584,7,Y,Yes,12,2,2,80,1,7,0,1,4,1,12,0
1164,26,Non-Travel,797,Research & Development,7,3,Other,1,4,Female,72,4,2,Manufacturing Director,4,Single,115335,21752,1,Y,No,16,3,4,80,3,18,4,4,18,5,1,3
1165,30,Non-Travel,627,Research & Development,13,1,Marketing,1,2,Female,54,3,3,Research Scientist,3,Married,72855,15942,2,Y,Yes,16,2,2,80,2,11,2,3,5,2,3,2
1166,41,Non-Travel,1006,Sales,8,3,Marketing,1,4,Female,70,4,5,Manager,3,Married,80166,21052,1,Y,No,22,3,4,80,2,23,4,4,13,5,2,3
1167,38,Travel_Frequently,536,Human Resources,21,2,Technical Degree,1,1,Male,32,2,1,Human Resources,2,Divorced,53163,3494,7,Y,Yes,15,1,1,80,1,6,1,2,3,0,9,0
1168,34,Travel_Frequently,177,Sales,18,5,Technical Degree,1,2,Male,30,1,1,Sales Executive,2,Single,46077,6043,4,Y,Yes,14,2,1,80,1,2,0,1,0,2,5,0
1169,50,Travel_Rarely,526,Sales,17,3,Technical Degree,1,2,Female,73,3,2,Sales Executive,3,Married,57571,8274,3,Y,Yes,11,2,2,80,1,8,2,2,8,4,2,4
1170,28,Travel_Rarely,982,Sales,1,4,Technical Degree,1,3,Male,88,4,3,Manager,4,Married,77504,15960,1,Y,No,25,3,3,80,1,20,3,3,20,7,1,8
1171,36,Non-Travel,685,Sales,12,4,Other,1,2,Male,75,2,2,Sales Representative,2,Married,74320,13280,4,Y,Yes,12,2,3,80,2,7,3,2,7,3,2,1
1172,42,Travel_Rarely,819,Human Resources,19,3,Other,1,3,Male,58,3,2,Human Resources,3,Single,62674,12436,4,Y,Yes,13,3,4,80,1,5,3,3,3,2,6,3
1173,40,Travel_Rarely,827,Human Resources,7,4,Other,1,3,Male,80,2,1,Human Resources,3,Single,50996,9063,3,Y,Yes,16,3,4,80,1,7,2,2,7,4,3,4
1174,33,Travel_Rarely,1331,Sales,6,2,Life Sciences,1,3,Male,78,3,2,Sales Executive,4,Single,71271,22667,1,Y,Yes,20,4,4,80,3,23,2,4,7,3,1,10
1175,33,Travel_Rarely,1373,Research & Development,9,5,Life Sciences,1,3,Female,75,3,4,Research Scientist,4,Single,91340,22747,3,Y,No,17,4,3,80,1,23,3,3,18,4,2,10
1176,44,Travel_Rarely,553,Sales,14,3,Technical Degree,1,2,Female,57,3,1,Research Scientist,3,Married,69692,9759,2,Y,Yes,11,2,3,80,1,12,3,2,4,4,5,4
1177,45,Non-Travel,1194,Human Resources,2,5,Human Resources,1,4,Female,75,3,4,Manager,3,Divorced,74701,21999,1,Y,No,24,4,4,80,2,18,2,3,9,7,2,6
1178,40,Non-Travel,1389,Research & Development,3,4,Life Sciences,1,4,Female,93,3,2,Healthcare Representative,4,Married,113613,20436,3,Y,No,20,3,3,80,2,22,3,4,5,9,0,7
1179,31,Non-Travel,948,Sales,9,4,Medical,1,4,Male,72,3,3,Manager,4,Single,88765,18362,2,Y,No,25,3,4,80,2,24,5,3,17,9,1,5
1180,33,Non-Travel,1335,Sales,1,4,Marketing,1,4,Male,99,4,3,Research Scientist,4,Married,90170,16419,1,Y,No,17,3,3,80,3,19,4,3,19,5,3,3
1181,37,Travel_Rarely,502,Human Resources,6,3,Technical Degree,1,2,Female,75,3,2,Manager,2,Married,55208,13705,2,Y,Yes,11,3,4,80,2,8,3,2,6,4,6,2
1182,38,Travel_Rarely,874,Human Resources,19,1,Technical Degree,1,2,Female,72,3,3,Manager,3,Married,60869,8176,4,Y,No,12,3,3,80,2,6,3,2,3,4,6,1
1183,42,Travel_Frequently,436,Research & Development,20,4,Other,1,2,Female,34,1,2,Manufacturing Director,2,Single,74528,2719,6,Y,Yes,12,2,2,80,0,4,1,2,4,1,5,2
1184,36,Travel_Frequently,385,Sales,20,2,Technical Degree,1,1,Female,47,1,1,Sales Representative,2,Divorced,52507,7893,6,Y,Yes,15,1,1,80,1,4,0,2,4,2,8,0
1185,44,Travel_Frequently,452,Research & Development,20,3,Technical Degree,1,2,Female,54,1,1,Manufacturing Director,2,Divorced,57346,5904,8,Y,Yes,12,2,1,80,0,2,0,2,0,0,7,0
1186,44,Travel_Frequently,618,Sales,19,4,Technical Degree,1,3,Female,62,3,1,Manager,2,Single,66124,14358,2,Y,Yes,18,2,2,80,1,15,3,2,5,2,3,2
1187,48,Travel_Rarely,1001,Research & Development,3,4,Human Resources,1,4,Female,89,3,5,Healthcare Representative,3,Divorced,97901,14893,1,Y,No,19,4,3,80,2,17,5,4,17,3,3,3
1188,38,Travel_Frequently,467,Sales,26,1,Medical,1,2,Female,53,2,1,Manager,1,Married,52238,3012,9,Y,Yes,13,1,2,80,1,7,0,2,0,0,12,2
1189,40,Travel_Rarely,834,Research & Development,3,1,Human Resources,1,3,Female,100,4,2,Research Scientist,4,Married,118394,17323,3,Y,No,19,3,3,80,2,20,4,4,9,5,1,5
1190,36,Non-Travel,737,Research & Development,1,4,Technical Degree,1,3,Female,74,4,4,Healthcare Representative,4,Married,106136,14531,1,Y,No,15,4,4,80,3,18,3,3,18,10,0,3
1191,31,Travel_Frequently,455,Human Resources,17,4,Medical,1,2,Male,57,1,1,Human Resources,2,Single,44104,4248,7,Y,Yes,13,1,2,80,1,9,0,1,0,1,10,1
1192,54,Non-Travel,1176,Human Resources,2,5,Life Sciences,1,4,Male,90,4,2,Human Resources,4,Single,66573,15932,2,Y,No,19,3,4,80,3,16,3,4,16,5,3,10
1193,47,Travel_Frequently,526,Sales,21,3,Human Resources,1,1,Female,35,2,1,Manager,1,Married,50237,3589,8,Y,Yes,13,2,2,80,0,7,0,1,0,1,9,2
1194,44,Travel_Rarely,830,Human Resources,9,2,Technical Degree,1,3,Female,50,2,2,Human Resources,3,Single,61054,10778,2,Y,Yes,16,2,4,80,2,9,3,3,8,3,6,3
1195,37,Travel_Rarely,659,Sales,7,1,Marketing,1,3,Female,50,3,2,Sales Representative,2,Married,58507,14545,3,Y,Yes,16,3,2,80,0,4,1,3,3,3,5,3
1196,30,Non-Travel,666,Sales,6,5,Marketing,1,2,Male,74,2,1,Sales Representative,2,Married,67116,13398,2,Y,Yes,12,3,4,80,0,9,3,2,5,4,6,1
1197,45,Travel_Rarely,1287,Human Resources,3,3,Medical,1,3,Female,77,3,4,Manager,4,Single,67018,16806,3,Y,No,23,3,4,80,1,16,4,4,10,7,0,3
1198,36,Travel_Frequently,598,Research & Development,26,1,Medical,1,2,Female,59,1,1,Manager,1,Single,57663,5814,8,Y,Yes,13,2,1,80,1,5,1,1,3,1,7,2
1199,41,Travel_Frequently,157,Sales,16,3,Other,1,1,Female,41,1,2,Sales Executive,2,Married,46900,5921,5,Y,Yes,14,2,1,80,1,4,1,2,4,1,10,1
1200,33,Non-Travel,1410,Sales,6,5,Human Resources,1,4,Female,88,4,3,Sales Representative,4,Single,72528,21063,3,Y,No,22,3,3,80,3,19,3,3,19,9,3,6
